Ingredient,Label
FLAVOURING SUBSTANCE,0
Tricalcium Phosphate,0
Ferrous Citrate,0
Orange Fruit Powder,0
Vitamins,0
"Stabilisers (415, 466, 1400),",0
"Food Colours (171, 110, 102),",0
Sweetener (960),1
Edible Salt,0
ADDED FLAVOUR SUBSTANCES,0
ADDED ORANGE FLAVOUR,0
FRUIT JUICE POWDER,0
FRUIT AND VEGETABLE EXTRACTS,0
ACIDITY REGULATOR (INS 330),0
BLACK SALT,0
COMMON SALT,0
"EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415)",0
NATURAL SPICE OILS,0
NATURAL SPICE EXTRACTS,0
NATURAL ESSENTIAL OILS,0
ANTICAKING AGENT(INS 554),0
Acidity Regular (INS-330),0
Class II Preservative (INS-211),0
Synthetic Food Colour (INS-122)(INS-124),0
Purified Water,0
Acidity Regulator (INS-330),0
Artificial flavoring substance.,0
Refined Wheat flour (Maida),0
Palm oil,0
Wheat gluten,0
"Acidity regulators (5000), 5010))&170(0))",0
Thickeners (508 & 412),0
Humectant (4510),0
Mixed spices,0
Noodle powder,0
Edible starch,0
Thickener (508),0
Acidity regulators (330&500()),0
Flavour enhancer (635),0
CONTAINS PERMITTED NATURAL COLOUR,0
Wheat Flour,0
Refined Palm Oil,0
"Potassium Chloride (Gelling Agent, E508)",0
"Sodium Polyphosphate (Emulsifying Agent, E452(i))",0
"Potassium Carbonate (Acidity Regulator, E501(i))",0
"Sodium Hydrogen Carbonate (Raising Agent, E500 (ii))",0
"Tertiary Butylhydroquinone (Antioxidant, E319)",0
Mixed Spices,0
Corn Flour,0
"Soy Sauce Powder (soybean, wheat, salt)",0
"Dehydrated Vegetables (carrot, parsley)",0
Flavour Enhancers E627 E631,0
Anticaking Agent E551,0
"Citric Acid (Acidifying Agent, E330)",0
Tomato Powder,0
Sunflower Oil,0
Neotame,1
Aspartame,1
Sucralose,1
Saccharin,1
Acesulfame Potassium (Ace-K),1
Steviol Glycosides,1
Advantame,1
Stevia,1
Erythritol,1
Isomalt,1
Lactitol,1
Maltitol,1
Mannitol,1
Sorbitol,1
Xylitol,1
Dextrose,1
Maple sugar,1
Powdered sugar,1
Brown sugar,1
Molasses,1
High-fructose corn syrup (HFCS),1
Agave nectar,1
Agave syrup,1
Stevia Leaf Extract,1
