Ingredient List,Sweeteners?
"HYDROGENATED VEGETABLE OIL, ACIDITY REGULATOR (CITRIC ACID), FD&C Green No. 3, mono- and diglycerides, Mixed spices",nil
"acesulfame-K, corn syrup, BHT","acesulfame-K, corn syrup"
"REFINED WHEAT FLOUR (53%), Ferrous Citrate, Acidity Regulator (330), Edible Vegetable Oil (Palmolein Oil), Vitamin A (Ace Vitamin D2 (Ergocalciferol), Synthetic Food Colour (INS-122)(INS-124)",nil
"ARTIFICIAL SWEETENERS, Soya Flour, Maple sugar",Maple sugar
"Soya Flour, Gelatin, Tricalcium Phosphate",nil
"NATURAL CEREAL FIBRE, Cinnamon, Antioxidant (INS 320), Leavening agent , CARBONATED WATER, Refined Palm Oil",nil
"REFINED PALMOLEIN, Asafoetida, Aspartame, Permitted Emulsifier (E481())",Aspartame
"FLAVOURING SUBSTANCE, silicon dioxide, Spices, COMMON SALT, high fructose corn syrup, Humectant (4510)",high fructose corn syrup
"nitrous oxide, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], disodium guanylate or inosinate, RAGI FLOUR",nil
"Whole Wheat Flour, Thickeners (508 & 412), Soy lecithin",nil
"Acidity regulators (330&500()), silicon dioxide, azodicarbonamide, calcium sorbate, Rock Salt, Hydrogenated vegetable fat, PRESERVATIVE (211)",nil
"ELAICHI FLAVOUR, STABILIZER (PECTIN) , Aspartame, ACIDITY REGULATORS (338, 331, 330), Leavening agent , ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), MANGO PULP",Aspartame
"Dry Fruits powder, Leavening Agent (INS 500 {i}), Bengal Gram ",nil
"Anticaking Agent E551, ACIDITY REGULATORS (330, 331()), Citric Acid (Acidifying Agent, E330), FRUIT AND VEGETABLE EXTRACTS, lodized Salt, Corn Flour, Acidity Regulator (330)",nil
"beta-carotene, ADDED FLAVOUR SUBSTANCES, Emulsifier ((471),460()), MIXED FRUIT, SYNTHETIC FOOD COLOUR-124",nil
"REFINED WHEAT FLOUR (53%), Cumin Seed, Thickeners (508 & 412), EDIBLE VEGETABLE OIL, ammonium phosphate, mineral (Calcium carbonate), Neotame",Neotame
"potassium sorbate, Iodized salt, Cinnamon, Vitamin A (Ace Vitamin D2 (Ergocalciferol), CLASS II PRESERVATIVE, Mixed spices",nil
"Vitamin B2, Neotame, Brown sugar, Wheat flour (Maida)","Neotame, Brown sugar"
"Maple sugar, ANTIOXIDANT, niacinamide, Ragi, riboflavin, Spices & Condiments, Powdered sugar","Maple sugar, Powdered sugar"
"Lactitol, NATURAL FOOD COLOUR (150), WHEAT BRAN",Lactitol
"REFINED WHEAT FLOUR (53%), fruit and vegetable juices, Molasses, Palmolein, Gur","Molasses, Gur"
"COLOUR(S) (INS 150c, INS 150d), ACIDITY REGULATORS (338, 331, 330), sorbitol, Organic Whole Wheat Flour, Invert Syrup","sorbitol, Invert Syrup"
"Tertiary Butylhydroquinone (Antioxidant, E319), Refined Wheat Flour, potassium iodide",nil
"ACIDITY REGULATORS (330, 331()), Maltodextrin, Vitamin B2 (Riboflavin), Milk Solids, Rock Salt, Food Colours (171, 110, 102),, L-tryptophan",Maltodextrin
"Palmolein, Gur (Jaggery), WHEAT BRAN",Gur (Jaggery)
"MILK SOLIDS, ANTIOXIDANT, Orange Juice Concentrate, HYDROGENATED VEGETABLE OIL, WHEAT GLUTEN, Hydrogenated vegetable fats",nil
"polysorbates, Permitted Emulsifier (E481()), hydrolyzed soy protein",nil
"ACIDITY REGULATOR (CITRIC ACID), CARBONATED WATER, Gur (Jaggery)",Gur (Jaggery)
"Food Colours (171, 110, 102),, Malt Extract, Toned Milk Dahi, Mixed spices, EMULSIFIERS (322,472e,471)",Malt Extract
"Jaggery, LIQUID GLUCOSE, SOYA FLOUR, SYNTHETIC FOOD COLOURS (E102 & E133), Sweetener (960), ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN","Jaggery, LIQUID GLUCOSE, Sweetener (960)"
"REFINED PALM OIL, acesulfame-K, Refined Soyabean Oil, Edible vegetable oil (Palm oil), Whole Wheat Flour",acesulfame-K
"niacin, acesulfame potassium, SOYA FLOUR, acesulfame-K","acesulfame potassium, acesulfame-K"
"WHEAT FLOUR, Advantame, potassium iodide, cochineal extract or carmine, sugar, Brown sugar, COCOA BUTTER","Advantame, sugar, Brown sugar"
"Whole Wheat Flour, Acidity Regulator (330), Edible Vegetable Oil (Soyabean, Palmolein), RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), ANTICIDANT [300], corn syrup, amino acids",corn syrup
"Rice Flakes, Flour Treatment Agent (1100), Molasses, beta carotene, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, PRESERVATIVE (INS234)",Molasses
"Spices, Refined Wheat Flour, Invert Syrup, Cumin Seed",Invert Syrup
"MALTODEXTRIN, COMMON SALT, Stevia Leaf Extract",Stevia Leaf Extract
"PRESERVATIVE (211), REFINED PALMOLEIN, mineral (Calcium carbonate), SPICES AND CONDIMENTS ",nil
"glucose, HYDROGENATED VEGETABLE OIL, Acidity regulators (5000), 5010))&170(0)), Refined Wheat Flour, Iodized salt, citric acid",glucose
"EMULSIFIERS (INS 322(1), INS 471)., SYNTHETIC FOOD COLOURS (110, 102), Edible Common Salt, Glycerin, NATURAL FOOD COLOUR (150), Emulsifiers [471,481 (i)], FLOUR",nil
"Jaggery, Acidity Regulator (E260), WATER, Acidity Regular (INS-330)",Jaggery
"mineral (Calcium carbonate), Sodium Polyphosphate (Emulsifying Agent, E452(i)), Calcium chloride",nil
"Soy lecithin, EDIBLE VEGETABLE OIL, ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, pectin",nil
"Flour Treatment Agent (1100), ARTIFICIAL FLAVOURING SUBSTANCES ETHYL VANILLIN, MALTITOL (965)",MALTITOL (965)
"EDIBLE VEGETABLE OILS (PALM), Hydrogenated vegetable fat, HONEY, iron or ferrous sulfate, OATS, rennet, Cocoa solids",HONEY
"Antioxidant (INS 320), beta carotene, EMULSIFIER",nil
"Black Salt, niacin, Isomalt, Food Colours (171, 110, 102),, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE)",Isomalt
"citric acid, Sesame Seeds, Rice Flakes, Sodium Benzoate (INS 211)., Emulsifier ((471),460()), Butter",nil
"Hydrogenated Vegetable Oil, Leavening agents ((5000), 503)), Refined sugar, grape skin extract, Calcium chloride, HYDROGENATED VEGETABLE FAT, Sodium Polyphosphate (Emulsifying Agent, E452(i))",Refined sugar
"WATER, PRESERVATIVE-211, Jaggery, HONEY, Ragi, Acidity Regulator (260), high fructose corn syrup","Jaggery, HONEY, high fructose corn syrup"
"Acidity Regulator (E260), tocopherols, REFINED WHEAT FLOUR (53%), Baking soda",nil
"rennet, Enzymes, L-lysine, ANTICAKING AGENT(INS 554), Black Salt",nil
"Rice Flakes, EMULSIFIER, potassium sorbate, CARBONATED WATER, Acidity Regulator (INS 260)",nil
"Spices, Hydrogenated vegetable fats, CARBONATED WATER, Rock Salt, Milk solids, L-methionine, Orange Fruit Powder",nil
"papain, beta-carotene, Acidity Regulator (INS 260)",nil
"Thickener (508), High-fructose corn syrup (HFCS), Carbon dioxide, Baking soda",High-fructose corn syrup (HFCS)
"hydrolyzed soy protein, Edible Vegetable Oil (Soyabean, Palmolein), iron or ferrous sulfate, RAGI FLOUR, potassium sorbate",nil
"Acidity Regulator (INS 260), PRESERVATIVES (280, 281 & 200], artificial flavor, CLASS II PRESERVATIVE, pectin, Black Salt, REFINED WHEAT FLOUR (53%)",nil
"iron or ferrous sulfate, BHA, Rock Salt, FD&C Blue Nos. 1 and 2, mineral (Calcium carbonate), sodium benzoate, IMPROVERS[170(1) 510]",nil
"Cold Pressed Coconut Oil, SYNTHETIC FOOD COLOURS, iron ammonium citrate, FD&C Yellow Nos. 5 and 6, Ammonium sulfate",nil
"Natural flavoring, ANTICIDANT [300], Bengal gram dal, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Flour Treatment Agent (1100), mono- and diglycerides",nil
"Soy lecithin, Whole Wheat Flour, polysorbates, Iodized salt",nil
"Toned Milk Dahi, Wheat flour (Maida), Purified Water, Humectant (4510)",nil
"Bengal gram dal, SYNTHETIC FOOD COLOURS (E102 & E133), Orange Juice Concentrate, xanthan gum, Milk solids",nil
"Emulsifier (INS 322), Dextrose, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), Organic Jaggery, sodium benzoate, Lactic acid","Dextrose, Organic Jaggery"
"IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], FRUIT JUICE POWDER, Enzymes, citric acid, Organic Whole Wheat Flour, Black Salt, Dry Fruits powder",nil
"EDIBLE VEGETABLE OIL, whey, EMULS 472e, 481 (1), calcium carbonate",nil
"artificial flavor, Soy Sauce Powder (soybean, wheat, salt), Sucralose, Refined Wheat Flour, Anticaking Agent (INS 551), FLOUR",Sucralose
"RAGI FLOUR, Whole Wheat Flour, Humectant (4510), OATS, LEMON JUICE CONCENTRATE",nil
"Orange Fruit Powder, MALTODEXTRIN, Refined Wheat Flour (Maida), RAISING AGENTS [503 (ii), 500 (ii) )",nil
"Orange Fruit Powder, CEREAL PRODUCTS, Milk solids, xanthan gum, Whole Wheat Flour, Emulsifier (Soya lecithin), Thickeners (508 & 412)",nil
"SWEETENERS( 951, 950), Gelatin, EDIBLE VEGETABLE OIL (PALM), Xylitol, ACIDITY REGULATOR (CITRIC ACID), Advantame, PRESERVATIVE (211)","SWEETENERS( 951, 950), Xylitol, Advantame"
"Refined Wheat Flour (Maida), Lactitol, Orange B, REFINED PALMOLEIN",Lactitol
"EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), Palmolien Oil, caramel color, Emulsifier ((471),460()), Acidity Regulator(INS 330 & INS 260)",nil
"Xylitol, Cold Pressed Coconut Oil, citric acid",Xylitol
"Dehydrated Vegetables (carrot, parsley), Tricalcium Phosphate, REFINED WHEAT FLOUR, EMULSIFIERS [481(i), 471 & 472e]",nil
"Edible Salt, CEREAL PRODUCTS, Ascorbic acid, L-lysine",nil
"Emulsifier (INS 322), CONTAINS PERMITTED NATURAL COLOUR, Antioxidant (INS 320), sorbitol, FLAVOURING SUBSTANCES, Mineral (Zinc B, Vitamin E (Acetate), SYNTHETIC FOOD COLOUR (INS 133)",sorbitol
"WHEAT BRAN, Salt, lodized Salt, Soy lecithin, Ascorbic acid",nil
"Monosodium glutamate, SPICES AND CONDIMENTS , ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Stabilisers (415, 466, 1400),",nil
"ACIDITY REGULATOR (INS 330), high fructose corn syrup, Acidity Regulator (E260), RICE FLOUR, Thickeners (508 & 412)",high fructose corn syrup
"Hydrogenated Vegetable Oil, ARTIFICIAL FLAVOURING SUBSTANCES, BLACK SALT, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, Permitted Emulsifier (E481())",nil
"Artificial flavoring substance., Lactitol, Black Salt",Lactitol
"Mannitol, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), iron or ferrous sulfate",Mannitol
"PRESERVATIVE-211, CARBONATED WATER, ANTIOXIDANT (INS 322(1)), COMMON SALT, artificial flavor, Guava Pulp, Vitamin A (Ace Vitamin D2 (Ergocalciferol)",nil
"COCOA SOLIDS, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), Vitamin B2 (Riboflavin)",nil
"Acesulfame Potassium (Ace-K), SWEETENERS( 951, 950), ADDED ORANGE FLAVOURS , Rice Flakes, Stabilisers (415, 466, 1400),","Acesulfame Potassium (Ace-K), SWEETENERS( 951, 950)"
"FLOUR, BHA, Acidity Regulator (INS 330), sodium erythorbate",nil
"sorbitol, High-fructose corn syrup (HFCS), riboflavin, Food Colours (171, 110, 102),, Refined Wheat Flour (Maida), Organic Whole Wheat Flour, Edible Vegetable Oil (Palmolein Oil)","sorbitol, High-fructose corn syrup (HFCS)"
"stabilizer (INS 170), Synthetic Food Colour (INS-122)(INS-124), Wheat flour (Maida)",nil
"amino acids, high fructose corn syrup, niacin, MILK SOLIDS, MANGO PULP, Cinnamon, Acidity Regulator (INS 330)",high fructose corn syrup
"NATURAL COLOUR (160a (i)), Edible Vegetable Oil (Palmolein Oil), Ascorbic acid, Wheat Gluten, ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Mineral (Zinc B, Vitamin E (Acetate), mono- and diglycerides",nil
"Bengal Gram , ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Asafoetida",nil
"REFINED WHEAT FLOUR (53%), Tomato Powder, Whole Wheat Flour, Orange B, mineral (Calcium carbonate), Tertiary Butylhydroquinone (Antioxidant, E319), Glycerin",nil
"Ascorbic acid, Dextrose, corn flour, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415)",Dextrose
"rennet, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Dry Fruits powder, Class II Preservative (INS-211), Gelatin",nil
"SYNTHETIC FOOD COLOUR (INS 133), sodium benzoate, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415)",nil
" ACIDITY REGULATORS (330, 331()), Soya Flour, Emulsifier (INS 322)",nil
"citric acid, Peas, Glycerin, Double Toned Milk",nil
"beta-carotene, SYNTHETIC FOOD COLOURS (110, 102), SYNTHETIC FOOD COLOUR (INS 133), RICE FLOUR, iron or ferrous sulfate, Stevia",Stevia
"saccharin, Agave syrup, ALMOND","saccharin, Agave syrup"
"Organic Whole Millets Flour, Water, Cocoa solids, Vitamins",nil
"Preservative (282), Edible Vegetable Oil (Mustard Oil), Bengal Gram , tocopherols",nil
"Calcium chloride, Vitamin B2 (Riboflavin), Mixed spices, High-fructose corn syrup (HFCS), Acidity Regulator (330), Acidity Regular (INS-330)",High-fructose corn syrup (HFCS)
"COMMON SALT, ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Refined Wheat Flour",nil
"Humectant (4510), SOYA FLOUR, Class II Preservative (INS-211), Class II Preservatives (E282)",nil
"PRESERVATIVE (INS234), paprika oleoresin, Emulsifier (INS 322), Leavening agent , Soy lecithin, RICE FLOUR",nil
"BHT, FD&C Blue Nos. 1 and 2, FRUIT JUICE POWDER, Wheat Flour, Orange B, Cocoa Solids, EMULS 472e, 481 (1)",nil
"CLASS II PRESERVATIVE, papain, modified food starch, Acidity Regulator (INS 330)., ADDED ORANGE FLAVOUR, EDIBLE VEGETABLE OIL, Preservative (282)",nil
"Yeast, EMULS 472e, 481 (1), calcium lactate, ANTIOXIDANT, microparticulated egg white protein, Acidity regulator (339(1)), Cinnamon",nil
"Whole Wheat Flour, EMULSIFIERS [481(i), 471 & 472e], Acidity Regulator (E260), High-fructose corn syrup (HFCS), Enzymes, Ascorbic acid, beta carotene",High-fructose corn syrup (HFCS)
"OATS, Vitamin A (Ace Vitamin D2 (Ergocalciferol), IMPROVERS[170(1) 510], ADDED ORANGE FLAVOUR, azodicarbonamide, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE",nil
"Acidity Regulator (INS-330), PRESERVATIVE-211, FLAVOURING SUBSTANCES-CHOCOLATE, Butter, ACIDITY REGULATOR (CITRIC ACID), IODISED SALT, disodium guanylate or inosinate",nil
"Acidity regulators (5000), 5010))&170(0)), Refined Palmolein oil, Red Chilli Powder, Saccharin, artificial flavor, BHA, Stabilisers (415, 466, 1400),",Saccharin
"Iodized salt, potassium sorbate, NATURAL ESSENTIAL OILS, mannitol, PRESERVATIVE-211, Calcium silicate, Flax & Sesame Seeds",mannitol
"Ascorbic acid, MANGO PULP, Preservative (282), Edible Vegetable Oil (Palmolein Oil), CARBONATED WATER, Neotame",Neotame
"REFINED WHEAT FLOUR, high fructose corn syrup, fruit and vegetable juices",high fructose corn syrup
"BUTTER, L-leucine, hydrolyzed soy protein, Red Chilli Powder, Ferrous Citrate",nil
"CLASS II PRESERVATIVE, Antioxidant (INS 320), ARTIFICIAL FLAVOURING SUBSTANCES, EMULSIFIERS (INS 322(1), INS 471)., Acidity Regulator (330), Citric Acid (Acidifying Agent, E330)",nil
"Acidity Regulator (INS 330)., Agave nectar, Refined Wheat flour (Maida), ACIDITY REGULATORS (330, 331()), sugar, Maize Starch","Agave nectar, sugar"
"Ammonium sulfate, WHEAT GLUTEN, potassium iodide, Milk, FLAVOURING SUBSTANCE, COCOA BUTTER",nil
"Soy Sauce Powder (soybean, wheat, salt), fructose, Refined Palm Oil, corn syrup, acesulfame potassium, Flavour Enhancers E627 E631","fructose, corn syrup, acesulfame potassium"
"calcium carbonate, ROLLED OATS, Palmolien Oil, glucose, Black Salt, INVERT SUGAR SYRUP, Refined Palmolein oil","glucose, INVERT SUGAR SYRUP"
"Calcium silicate, Erythritol, pectin, Agave nectar, whey, Flavour enhancer (635)","Erythritol, Agave nectar"
"high fructose corn syrup, Refined Soyabean Oil, L-cysteine, Spices, EDIBLE VEGETABLE OIL (PALM)",high fructose corn syrup
"Refined Wheat Flour, Tricalcium Phosphate, Edible Vegetable Oil (Mustard Oil), grape skin extract, OATS, Spices & Condiments, BUTTER",nil
"Orange Fruit Powder, Yeast, calcium carbonate, Maltodextrin, Agave syrup, Calcium silicate","Maltodextrin, Agave syrup"
"monocalcium phosphate, STABILIZER (PECTIN) , Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), Acidity Regulator (E260), FRUIT JUICE POWDER",nil
"Vitamin D, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), mannitol, neotame","mannitol, neotame"
"HONEY, Edible Vegetable Oil (Palmolein Oil), NATURAL ESSENTIAL OILS, papain",HONEY
"Anticaking Agent (INS 551), ammonium phosphate, calcium propionate",nil
"tocopherols, NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, INVERT SUGAR SYRUP, Potassium Carbonate (Acidity Regulator, E501(i)), Citric Acid (Acidifying Agent, E330), Advantame","INVERT SUGAR SYRUP, Advantame"
"ALMOND, Acidity Regulator (330), potassium sorbate, Edible vegetable oil (Palm oil), FRUIT AND VEGETABLE EXTRACTS, Emulsifier (322)",nil
"Edible Vegetable Oil (Palmolein Oil), EMULSIFIERS (E322, E476)., Iodized salt, tocopherols",nil
"Flax & Sesame Seeds, whey, Gelatin",nil
"ANTICIDANT [300], Water, SYNTHETIC FOOD COLOUR-124, Acidity Regulator (330), lodized Salt, ANTICAKING AGENT(INS 554), L-tryptophan",nil
"Dextrose, Tertiary Butylhydroquinone (Antioxidant, E319), CLASS II PRESERVATIVE, PRESERVATIVES (280, 281 & 200]",Dextrose
"MANGO PULP, STABILIZER (PECTIN) , ACIDITY REGULATOR (INS 330), IODISED SALT, CLASS II PRESERVATIVE, hydrolyzed soy protein, niacin",nil
"FD&C Red Nos. 3 and 40, Cocoa solids, calcium carbonate, Maltodextrin, Potassium Carbonate (Acidity Regulator, E501(i))",Maltodextrin
"Iodized salt, WHEAT GLUTEN, ACIDITY REGULATOR (INS 330), alpha tocopherols",nil
"Citric Acid (Acidifying Agent, E330), Toned Milk, SYNTHETIC FOOD COLOUR (INS 133), SYNTHETIC FOOD COLOURS, SPICES AND CONDIMENTS , niacin, Lactitol",Lactitol
"ADDED ORANGE FLAVOUR, Antioxidant(E300), Refined Wheat flour (Maida), acesulfame-K, Acidity Regular (INS-330), Food Colours (171, 110, 102),",acesulfame-K
"Emulsifier (INS 322), EDIBLE VEGETABLE OILS (PALM), and spices, Rock Salt, BHA",nil
"Agave nectar, NATURAL SPICE EXTRACTS, Whole Wheat Flour, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE, Antioxidant (INS 320), Vitamins, Acidity regulator (339(1))",Agave nectar
"sugar, beta-carotene, SOYA FLOUR, Ascorbic acid, Corn Flour, IMPROVERS[170(1) 510], disodium guanylate or inosinate",sugar
"ADDED ORANGE FLAVOUR, HYDROGENATED VEGETABLE FAT, Ferrous Citrate, SYNTHETIC FOOD COLOURS (INS 102 & 133)",nil
"Edible Vegetable Oil (Palmolein Oil), hydrolyzed soy protein, Guava Pulp",nil
"WHEAT FLOUR, PRESERVATIVE (INS234), ADDED ORANGE FLAVOUR, ACIDITY REGULATORS (338, 331, 330), RICE FLOUR, ANTIOXIDANT",nil
"riboflavin, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Gelatin, Edible common Sequestrant (339(1)), ADDED ORANGE FLAVOUR",nil
"calcium propionate, Vitamins, ammonium phosphate",nil
"Palmolein, Butter, EDIBLE VEGETABLE OILS (PALM), Antioxidant (INS 307b), Glycerin",nil
"high fructose corn syrup, Dry Fruits powder, Edible Common salt, Stevia Leaf Extract, ROLLED OATS, Refined sugar","high fructose corn syrup, Stevia Leaf Extract, Refined sugar"
"acesulfame potassium, Dry Fruits powder, neotame, Red Chilli Powder, Acidity Regulator(INS 330 & INS 260)","acesulfame potassium, neotame"
"Sunflower Oil, Humectant (4510), sorbitol, annatto extract, Vitamin E, Sodium Benzoate (INS 211).",sorbitol
"Antioxidant (INS 307b), wheat flour, Refined Soyabean Oil, Spices",nil
"Vitamin B2 (Riboflavin), potassium iodide, Whole Wheat",nil
"ACIDITY REGULATORS (338, 331, 330), Thickeners (508 & 412), Iodized salt, ANTICAKING AGENT(INS 554), egg yolks, mannitol, Refined sugar","mannitol, Refined sugar"
"cochineal extract or carmine, EDIBLE COMMON SALT, Saccharin",Saccharin
"Spices, Edible Common Salt, Milk Solids",nil
"Ascorbic acid, guar gum, ACIDITY REGULATORS (330, 331())",nil
"high fructose corn syrup, Gur, calcium carbonate, calcium sorbate, carrageenan, monocalcium phosphate","high fructose corn syrup, Gur"
"ADDED ORANGE FLAVOUR, HONEY, Sodium Benzoate (INS 211).",HONEY
"Mixed Spices, Yeast, PRESERVATIVE (211), whey, MALTITOL (965), Whole Wheat Flour",MALTITOL (965)
"DOUGH CONDITIONER (223), High-fructose corn syrup (HFCS), Orange Fruit Powder",High-fructose corn syrup (HFCS)
"Spices, Mixed Spices, CHOCO CREAM, azodicarbonamide, FLAVOURING SUBSTANCE",nil
